,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
300,603996,中新科技,0.57,,,36.2,-1.03,8491.82,,,05-04
301,300479,神思电子,0.54,,1.66,38.61,0.33,3266.7,,,05-04
302,300469,信息发展,0.43,,1.33,38.63,0.31,2149.64,,,05-04
303,300529,健帆生物,0.58,,,43.51,0.59,7576.21,,,04-30
304,603798,康普顿,0.58,,,30.3,1.07,4335.12,,,04-30
305,300440,运达科技,0.91,,3.29,31.31,0.48,7605.54,,,04-30
306,603608,天创时尚,,,,24.8,,10288.57,,,04-30
307,603918,金桥信息,0.69,,,29.42,0.47,4536.93,,,04-30
308,603999,读者传媒,0.81,,,24.79,1.5,13999.03,,,04-30
309,603703,盛洋科技,0.63,,2.03,36.45,-0.2,4306.07,,,04-30
310,603779,威龙股份,0.78,,2.22,39.1,0.72,11653.66,,,04-30
311,603520,司太立,0.75,,3.2,25.98,-0.46,6756.71,,,04-30
312,603567,珍宝岛,0.82,,2.56,38.2,0.29,29606.37,,,04-30
313,002780,三夫户外,0.67,,,31.98,0.04,3365.45,,,04-30
314,300445,康斯特,,,,,,2281.4,19.37,,04-30
315,603909,合诚股份,,,12.13,28.48,,3467.81,,,04-29
316,603101,汇嘉时代,0.98,,2.62,52.69,1.92,8618.73,,,04-29
317,603599,广信股份,1.23,33.7,,22.0,1.37,17373.82,57.94,,04-29
318,603528,多伦科技,0.3,,,32.2,0.97,4600.28,,,04-29
319,002767,先锋电子,0.76,,2.77,30.86,0.43,5668.58,,,04-29
320,603866,桃李面包,0.97,,,30.75,1.17,14582.56,,,04-28
321,300441,鲍斯股份,0.63,,,39.49,0.53,4012.35,,,04-28
322,300511,雪榕生物,0.59,,2.76,30.82,0.87,6684.95,,,04-28
323,300513,恒泰实达,,,10.35,27.4,-1.27,2494.22,,,04-28
324,002771,真视通,0.84,,2.32,44.82,0.6,5060.77,,,04-28
325,002776,柏堡龙,0.82,,2.61,57.64,0.41,5831.41,,,04-28
326,300448,浩云科技,0.57,,1.91,44.68,0.95,3417.78,,,04-28
327,002786,银宝山新,0.77,,4.34,22.07,0.92,6340.21,,,04-28
328,603726,朗迪集团,0.81,,,30.19,-0.37,5752.67,,,04-25
329,300523,辰安科技,,,3.44,17.69,0.42,2239.53,,,04-25
330,603959,百利科技,0.83,,,52.09,0.4,9323.61,,,04-25
331,002761,多喜爱,0.69,,2.48,33.35,0.95,6168.18,,,04-25
332,300463,迈克生物,0.81,,2.1,47.95,0.58,12041.55,,,04-25
333,603861,白云电器,0.64,-0.7,4.36,15.67,0.56,13515.98,8.87,,04-25
334,603696,安记食品,1.14,,1.99,44.11,0.43,5556.62,,,04-25
335,002791,坚朗五金,0.68,,,24.45,0.56,11602.25,,,04-25
336,300467,迅游科技,0.68,,2.2,36.1,0.88,2027.46,,,04-24
337,300530,达志科技,0.59,,2.03,41.26,0.39,3041.05,,,04-24
338,300477,合纵科技,,,,,,5512.04,34.84,10派1.5,04-24
339,300501,海顺新材,0.51,,3.27,16.74,0.21,1979.11,,,04-24
340,300452,山河药辅,0.63,,2.76,25.21,0.65,2184.5,,,04-24
341,002781,奇信股份,0.62,,2.6,29.21,0.14,10803.96,,,04-23
342,603227,雪峰科技,0.53,,,26.54,0.41,12450.54,,,04-23
343,603818,曲美家居,0.44,,2.12,23.69,0.47,7931.74,,,04-22
344,603701,德宏股份,0.83,,,32.34,0.95,4899.61,,,04-22
345,002770,科迪乳业,0.19,,,11.23,0.48,3256.06,,,04-22
346,300436,广生堂,0.63,,1.94,72.82,1.52,3382.44,,,04-22
347,601368,绿城水务,0.25,-6.09,1.7,15.24,0.51,14879.94,-2.54,,04-22
348,603355,莱克电气,0.69,,,29.44,0.69,24973.14,,,04-22
349,600958,东方证券,0.27,-32.5,3.36,8.67,-2.8,90862.73,-30.92,,04-22
350,002779,中坚科技,0.81,,,36.86,1.03,5356.5,,,04-22
351,002757,南兴装备,0.66,,,32.56,0.5,5392.96,,,04-21
352,300430,诚益通,0.85,,3.63,29.19,0.29,3876.97,,,04-21
353,300475,聚隆科技,0.49,,1.73,37.57,0.05,7317.25,,,04-21
354,002800,天顺股份,0.45,,2.9,18.09,-0.96,2382.99,,,04-21
